"grid_id","cd_mun","adjusted_share_mun_tocr","idsbrazil"
4265,"3136900",0.6764749110030315,"""-46p75.-21p25.BRA"""
4343,"3136900",0.3235250889969704,"""-46p25.-21p25.BRA"""
5879,"2608602",0.8325052186789023,"""-36p25.-9p25.BRA"""
5801,"2608602",0.16749478132109824,"""-36p75.-9p25.BRA"""
5956,"2610004",0.9999999999999996,"""-35p75.-8p75.BRA"""
4965,"3166303",0.44889434762147984,"""-42p25.-20p25.BRA"""
4887,"3166303",0.10769270438135661,"""-42p75.-20p25.BRA"""
4888,"3166303",0.017912639297949597,"""-42p75.-20p75.BRA"""
4966,"3166303",0.4255003086992143,"""-42p25.-20p75.BRA"""
4964,"3170057",0.8886647292586932,"""-42p25.-19p75.BRA"""
5042,"3170057",0.11133527074130861,"""-41p75.-19p75.BRA"""
5879,"2708105",0.9999999999999977,"""-36p25.-9p25.BRA"""
5726,"2800506",0.9999999999999997,"""-37p25.-10p75.BRA"""
5649,"2807501",0.9999999999999984,"""-37p75.-11p25.BRA"""
4637,"2902500",0.12922550935707533,"""-44p25.-12p25.BRA"""
4559,"2902500",0.1504013598271575,"""-44p75.-12p25.BRA"""
4638,"2902500",0.4948998250674993,"""-44p25.-12p75.BRA"""
4560,"2902500",0.18236235378685892,"""-44p75.-12p75.BRA"""
4639,"2902500",0.04311095196140724,"""-44p25.-13p25.BRA"""
5803,"2806404",0.9999999999999999,"""-36p75.-10p25.BRA"""
5414,"2902104",0.0028945233745169816,"""-39p25.-10p75.BRA"""
5415,"2902104",0.6924541203067475,"""-39p25.-11p25.BRA"""
5493,"2902104",0.3046513563187351,"""-38p75.-11p25.BRA"""
5341,"2916708",0.8013665826530644,"""-39p75.-13p25.BRA"""
5263,"2916708",0.0024008765526622538,"""-40p25.-13p25.BRA"""
5342,"2916708",0.19623254079427446,"""-39p75.-13p75.BRA"""
5184,"2922854",0.08037107356456259,"""-40p75.-12p75.BRA"""
5106,"2922854",0.9196289264354349,"""-41p25.-12p75.BRA"""
5277,"3205002",0.9999999999999971,"""-40p25.-20p25.BRA"""
3642,"3505807",0.958537253507561,"""-50p75.-21p75.BRA"""
3643,"3505807",0.04146274649243973,"""-50p75.-22p25.BRA"""
4266,"3513900",1.000000000000001,"""-46p75.-21p75.BRA"""
4189,"3526704",1.0000000000000007,"""-47p25.-22p25.BRA"""
3954,"3532900",0.7636158780566494,"""-48p75.-21p75.BRA"""
4032,"3532900",0.23638412194334915,"""-48p25.-21p75.BRA"""
4109,"3551702",0.5192159118080213,"""-47p75.-21p25.BRA"""
4108,"3551702",0.003334230471854574,"""-47p75.-20p75.BRA"""
4031,"3551702",0.477449857720125,"""-48p25.-21p25.BRA"""
4113,"3537503",0.6770322702536606,"""-47p75.-23p25.BRA"""
4035,"3537503",0.3229677297463399,"""-48p25.-23p25.BRA"""
3264,"4313706",0.5656695726709122,"""-53p25.-27p75.BRA"""
3186,"4313706",0.12708733631588595,"""-53p75.-27p75.BRA"""
3187,"4313706",0.04724780497424195,"""-53p75.-28p25.BRA"""
3265,"4313706",0.2599952860389572,"""-53p25.-28p25.BRA"""
3420,"4314134",0.999999999999999,"""-52p25.-27p75.BRA"""
4503,"3550001",1.0000000000000016,"""-45p25.-23p25.BRA"""
3261,"4101002",0.01634869467398902,"""-53p25.-26p25.BRA"""
3182,"4101002",0.43399649689731734,"""-53p75.-25p75.BRA"""
3260,"4101002",0.5496548084286937,"""-53p25.-25p75.BRA"""
3258,"4101051",0.9999999999999998,"""-53p25.-24p75.BRA"""
3334,"4118808",0.0015177598623471495,"""-52p75.-23p75.BRA"""
3412,"4118808",0.9365559180074379,"""-52p25.-23p75.BRA"""
3413,"4118808",0.06192632213021659,"""-52p25.-24p25.BRA"""
3804,"4119400",0.3438147485096516,"""-49p75.-24p75.BRA"""
3803,"4119400",0.273731128560079,"""-49p75.-24p25.BRA"""
3725,"4119400",0.2812984967378095,"""-50p25.-24p25.BRA"""
3726,"4119400",0.10115562619245953,"""-50p25.-24p75.BRA"""
3260,"4120903",0.09601859447050379,"""-53p25.-25p75.BRA"""
3338,"4120903",0.24037770175887335,"""-52p75.-25p75.BRA"""
3337,"4120903",0.42902755892878974,"""-52p75.-25p25.BRA"""
3259,"4120903",0.2345761448418324,"""-53p25.-25p25.BRA"""
3180,"4125753",0.8064760157086714,"""-53p75.-24p75.BRA"""
3102,"4125753",0.19352398429132803,"""-54p25.-24p75.BRA"""
3340,"4204350",0.8428946248679274,"""-52p75.-26p75.BRA"""
3341,"4204350",0.15710537513206696,"""-52p75.-27p25.BRA"""
3180,"4127957",0.5728850368870297,"""-53p75.-24p75.BRA"""
3258,"4127957",0.4271149631129694,"""-53p25.-24p75.BRA"""
3497,"4212601",0.9999999999999964,"""-51p75.-27p25.BRA"""
3574,"4214409",0.8022099966283945,"""-51p25.-26p75.BRA"""
3652,"4214409",0.19779000337160774,"""-50p75.-26p75.BRA"""
3813,"4216404",0.9999999999999998,"""-49p75.-29p25.BRA"""
3653,"4216800",0.14148092497000353,"""-50p75.-27p25.BRA"""
3732,"4216800",0.11232932159599913,"""-50p25.-27p75.BRA"""
3654,"4216800",0.7461897534339937,"""-50p75.-27p75.BRA"""
3498,"4303202",1.0000000000000007,"""-51p75.-27p75.BRA"""
3426,"4318408",0.025393593377237973,"""-52p25.-30p75.BRA"""
3425,"4318408",0.17174267846971264,"""-52p25.-30p25.BRA"""
3502,"4318408",0.10126064826803674,"""-51p75.-29p75.BRA"""
3503,"4318408",0.5958419000579175,"""-51p75.-30p25.BRA"""
3504,"4318408",0.10576117982709503,"""-51p75.-30p75.BRA"""
1044,"1200450",0.5076469175515053,"""-67p25.-9p75.BRA"""
1045,"1200450",0.1350134059157374,"""-67p25.-10p25.BRA"""
967,"1200450",0.35733967653275844,"""-67p75.-10p25.BRA"""
2120,"1302603",0.006513477277809897,"""-60p25.-1p75.BRA"""
2042,"1302603",0.0000308483742385,"""-60p75.-1p75.BRA"""
2121,"1302603",0.2433290610690001,"""-60p25.-2p25.BRA"""
2043,"1302603",0.10972099122701122,"""-60p75.-2p25.BRA"""
2199,"1302603",0.0000371446541191,"""-59p75.-2p25.BRA"""
2122,"1302603",0.26779533586462223,"""-60p25.-2p75.BRA"""
2044,"1302603",0.13028876247705554,"""-60p75.-2p75.BRA"""
2200,"1302603",0.09749546616340937,"""-59p75.-2p75.BRA"""
2278,"1302603",0.0001534388985412,"""-59p25.-2p75.BRA"""
2123,"1302603",0.06077918279056978,"""-60p25.-3p25.BRA"""
2045,"1302603",0.004203932188598851,"""-60p75.-3p25.BRA"""
2201,"1302603",0.05783304540648169,"""-59p75.-3p25.BRA"""
2279,"1302603",0.02181931360854151,"""-59p25.-3p25.BRA"""
1800,"1400308",0.1546012638677749,"""-62p25.2p25.BRA"""
1722,"1400308",0.12031007762515929,"""-62p75.2p25.BRA"""
1644,"1400308",0.0066803025636002515,"""-63p25.2p25.BRA"""
1799,"1400308",0.12822084810767453,"""-62p25.2p75.BRA"""
1721,"1400308",0.11263255044504578,"""-62p75.2p75.BRA"""
1643,"1400308",0.009121400478042992,"""-63p25.2p75.BRA"""
2034,"1400308",0.03545162618974461,"""-60p75.2p25.BRA"""
1956,"1400308",0.09375540392368463,"""-61p25.2p25.BRA"""
1878,"1400308",0.06044805573487774,"""-61p75.2p25.BRA"""
2033,"1400308",0.012566145623851317,"""-60p75.2p75.BRA"""
1955,"1400308",0.1202420263793031,"""-61p25.2p75.BRA"""
1877,"1400308",0.1459702990612408,"""-61p75.2p75.BRA"""
3678,"1501808",0.012754962623514379,"""-50p25.-0p75.BRA"""
3600,"1501808",0.26164713603013934,"""-50p75.-0p75.BRA"""
3522,"1501808",0.07805484536902749,"""-51p25.-0p75.BRA"""
3523,"1501808",0.037354090524022644,"""-51p25.-1p25.BRA"""
3601,"1501808",0.2442999224548052,"""-50p75.-1p25.BRA"""
3679,"1501808",0.2403917477330264,"""-50p25.-1p25.BRA"""
3757,"1501808",0.007312212115863428,"""-49p75.-1p25.BRA"""
3602,"1501808",0.048831201794154094,"""-50p75.-1p75.BRA"""
3680,"1501808",0.0693538813554476,"""-50p25.-1p75.BRA"""
3187,"4300208",0.9999999999999983,"""-53p75.-28p25.BRA"""
4226,"1504950",0.01886980231631693,"""-46p75.-1p75.BRA"""
4306,"1504950",0.0001394230649654,"""-46p25.-2p75.BRA"""
4228,"1504950",0.0005128084462123,"""-46p75.-2p75.BRA"""
4150,"1504950",0.254137195174388,"""-47p25.-2p75.BRA"""
4149,"1504950",0.0827178506591822,"""-47p25.-2p25.BRA"""
4227,"1504950",0.6220352525722281,"""-46p75.-2p25.BRA"""
4305,"1504950",0.021587667766708236,"""-46p25.-2p25.BRA"""
3855,"1706258",0.6106012337092843,"""-49p25.-11p25.BRA"""
3933,"1706258",0.38939876629071785,"""-48p75.-11p25.BRA"""
4324,"1715259",0.28344690783246584,"""-46p25.-11p75.BRA"""
4246,"1715259",0.6998131099785098,"""-46p75.-11p75.BRA"""
4247,"1715259",0.016739982189030174,"""-46p75.-12p25.BRA"""
4312,"2100600",0.06013573837516697,"""-46p25.-5p75.BRA"""
4234,"2100600",0.20912360307948463,"""-46p75.-5p75.BRA"""
4310,"2100600",0.11290490167174864,"""-46p25.-4p75.BRA"""
4232,"2100600",0.10333158688600927,"""-46p75.-4p75.BRA"""
4311,"2100600",0.18639871134282388,"""-46p25.-5p25.BRA"""
4233,"2100600",0.32810545864476665,"""-46p75.-5p25.BRA"""
4858,"2205540",1.0,"""-42p75.-5p75.BRA"""
4381,"2102903",0.32286339510989853,"""-45p75.-1p25.BRA"""
4303,"2102903",0.47837393454102606,"""-46p25.-1p25.BRA"""
4304,"2102903",0.19876267034907563,"""-46p25.-1p75.BRA"""
2917,"5108808",0.9454769044487058,"""-55p25.-10p25.BRA"""
2839,"5108808",0.04989037608069685,"""-55p75.-10p25.BRA"""
